iteration	hypothesis	change	verify	metric_summary	decision	notes
SKREAD_ALL1	All-on with skill-reading helpers should keep growing the library while world-model handles low-level steering and reset avoidance.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260415i, actions=14, timeout=540	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260415i --actions 14 --timeout-sec 540`	elapsed=118.1s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=0; wm_prior=0/0; mh_runs=1	discard	report=arcgentica_skillread_all_20260415i.json; thresholds=dc_grounded 0 < required 1 | wm_drafts 0 < required 1 | wm_prior_suggestions 0 < required 1
SKREAD_ALL2	After the zero-action guard, all-on should actually act, grow the skill library, and keep world-model steering active.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260415j, actions=14, timeout=540	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260415j --actions 14 --timeout-sec 540`	elapsed=74.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/1; dc_revised=0; wm_drafts=0; wm_prior=0/13; mh_runs=1	discard	report=arcgentica_skillread_all_20260415j.json; thresholds=dc_grounded 0 < required 1 | wm_drafts 0 < required 1
SKREAD_DC2	After adding skill-read helpers and zero-action guard, DreamCoder should resume proposing grounded skills while keeping reset interception minimal.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_skillread_dc_20260415j, actions=14, timeout=540	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_skillread_dc_20260415j --actions 14 --timeout-sec 540`	elapsed=74.8s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=0	keep	report=arcgentica_skillread_dc_20260415j.json
SKREAD_ALL3	Ungrounded skill rejection plus auto-seeded world drafts should restore all-on artifact quality without letting abstract skills pollute the library.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260415k, actions=14, timeout=540	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260415k --actions 14 --timeout-sec 540`	elapsed=112.7s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=1; wm_prior=0/3; mh_runs=1	discard	report=arcgentica_skillread_all_20260415k.json
GROWTH_DC_SEED	DC-only should grow a reusable skill library under the stricter grounded-skill gate before combined reuse.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_growth_track_20260416a, actions=20, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_growth_track_20260416a --actions 20 --timeout-sec 900`	elapsed=79.5s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=arcgentica_growth_track_20260416a.json; thresholds=dc_grounded 0 < required 1
SKREAD_ALL4	Recent-action spine attachment should let all-on keep a grounded skill while world-model auto-seeds a code-like draft.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260415l, actions=14, timeout=540	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260415l --actions 14 --timeout-sec 540`	elapsed=153.4s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=1; wm_prior=7/12; mh_runs=1	discard	report=arcgentica_skillread_all_20260415l.json; thresholds=dc_grounded 0 < required 1
ARX_DC1	DreamCoder should keep agent-authored natural-language skills when they include embedded action references, restoring grounded library growth.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_growth_track_20260416b, actions=20, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_growth_track_20260416b --actions 20 --timeout-sec 600`	elapsed=70.5s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=0	keep	report=arcgentica_growth_track_20260416b.json
ARX_DC2L	After grounding/routing fixes, a carry-over DreamCoder run should keep the library reusable and ideally add or refine at least one more skill under longer exploration.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_growth_track_20260416b, actions=40, timeout=1800	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_growth_track_20260416b --actions 40 --timeout-sec 1800`	elapsed=96.2s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=0	keep	report=arcgentica_growth_track_20260416b.json
ARX_ALL2	All-on runs should at least produce a verifiable report on timeout; if they still fail, the remaining blocker is orchestration termination rather than reporting.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416c, actions=16, timeout=300	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416c --actions 16 --timeout-sec 300`	elapsed=220.0s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=1; wm_drafts=1; wm_prior=1/12; mh_runs=1	keep	report=arcgentica_skillread_all_20260416c.json
ARX_ALL3	If research modules read official Frame.grid correctly, all-on should stop seeing the world as empty and produce non-zero grid diffs with more state-specific skill/world artifacts.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416d, actions=16, timeout=300	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416d --actions 16 --timeout-sec 300`	elapsed=162.7s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=1/1; dc_revised=1; wm_drafts=1; wm_prior=11/15; mh_runs=1	discard	report=arcgentica_skillread_all_20260416d.json
ARX_ALL4	With official Frame.grid wired through and prose world updates auto-scaffolded into code-like drafts, all-on should satisfy both DreamCoder and world-model verifier gates on ls20.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416e, actions=16, timeout=300	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416e --actions 16 --timeout-sec 300`	elapsed=5.4s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=0; wm_prior=0/0; mh_runs=0	discard	report=arcgentica_skillread_all_20260416e.json; thresholds=dc_grounded 0 < required 1 | wm_drafts 0 < required 1 | wm_prior_suggestions 0 < required 1
ARX_ALL4	With official Frame.grid wired through and prose world updates auto-scaffolded into code-like drafts, all-on should satisfy both DreamCoder and world-model verifier gates on ls20.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416e, actions=16, timeout=300	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416e --actions 16 --timeout-sec 300`	elapsed=120.8s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=2/2; dc_revised=0; wm_drafts=1; wm_prior=2/2; mh_runs=1	discard	report=arcgentica_skillread_all_20260416e.json
ARX_ALL5	If a structured prediction is observed before the first explicit world_update, the resulting draft should inherit that empirical score, allowing all-on to satisfy both world-model scoring and code-like draft checks.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416f, actions=16, timeout=300	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416f --actions 16 --timeout-sec 300`	elapsed=123.7s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=4/5; mh_runs=1	keep	report=arcgentica_skillread_all_20260416f.json
ARX_ALL6L	After verifier-aligned fixes, a carry-over all-on run on the same namespace should preserve grounded skill/world artifacts and test whether the shared library begins to influence longer-horizon exploration on ls20.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416f, actions=40, timeout=1800	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416f --actions 40 --timeout-sec 1800`	elapsed=114.6s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=1; wm_drafts=1; wm_prior=26/33; mh_runs=2	keep	report=arcgentica_skillread_all_20260416f.json
ARX_ALL7	If revision collapse is reduced, all-on should retain multiple grounded skills instead of merging distinct action-grounded tactics into one generic sweep.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416g, actions=16, timeout=300	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416g --actions 16 --timeout-sec 300`	elapsed=115.4s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=10/14; mh_runs=1	keep	report=arcgentica_skillread_all_20260416g.json
ARX_ALL8	Stronger DreamCoder prompting for multiple small observable tactics should increase retained skill count above one while preserving groundedness and world-model verification.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416h, actions=20, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416h --actions 20 --timeout-sec 360`	elapsed=114.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=8/11; mh_runs=1	keep	report=arcgentica_skillread_all_20260416h.json
ARX_ALL9	Early-stop retry should reduce premature lose emissions, encouraging the all-on orchestrator to spend more of the available budget before terminating.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416i, actions=20, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416i --actions 20 --timeout-sec 360`	elapsed=360.2s; returncode=124; timed_out=True; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=0; wm_prior=0/0; mh_runs=0	discard	report=arcgentica_skillread_all_20260416i.json; thresholds=dc_grounded 0 < required 1 | wm_drafts 0 < required 1 | wm_prior_suggestions 0 < required 1
ARX_ALL10B	Graceful timeout handling should preserve summary/artifacts even when longer all-on runs exceed wall-clock budget, so early-stop retry can be evaluated instead of crashing the research loop.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=20, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 20 --timeout-sec 360`	elapsed=282.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=1; wm_drafts=1; wm_prior=16/19; mh_runs=1	keep	report=arcgentica_skillread_all_20260416k.json
ARX_ALL11L	With early-stop retry and stable all-on verifier behavior, a carry-over run on the same namespace should test whether retained skill/world artifacts change later exploration behavior rather than resetting to a fresh generic sweep.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=40, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 40 --timeout-sec 900`	elapsed=134.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=2/2; dc_revised=1; wm_drafts=1; wm_prior=29/37; mh_runs=2	keep	report=arcgentica_skillread_all_20260416k.json
ARX_ALL12	Stronger anti-premature-stop prompting plus more finish retries should reduce probe_complete early exits and push all-on closer to full budget use on ls20 carry-over exploration.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416l, actions=24, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416l --actions 24 --timeout-sec 420`	elapsed=289.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=2/2; dc_revised=0; wm_drafts=1; wm_prior=18/23; mh_runs=1	keep	report=arcgentica_skillread_all_20260416l.json
ARX_ALL12B	Restricting early-stop retries to clearly nonterminal reasons should preserve normal finishes while still preventing probe_complete-style premature stops, pushing carry-over all-on runs closer to budget use.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416m, actions=24, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416m --actions 24 --timeout-sec 420`	elapsed=76.8s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=1; wm_prior=18/22; mh_runs=1	discard	report=arcgentica_skillread_all_20260416m.json; thresholds=dc_grounded 0 < required 1
ARX_ALL13	Explicitly forbidding empty-skill FinishStatus under research mode should eliminate runs with zero proposed skills when action-grounded patterns were observed.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416n, actions=24, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416n --actions 24 --timeout-sec 360`	elapsed=177.0s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=11/13; mh_runs=1	keep	report=arcgentica_skillread_all_20260416n.json
ARX_ALL14L	Continue from the strongest carry-over namespace with two retained grounded skills and a well-scored world model to test whether longer reuse changes ls20 exploration beyond generic sweeps.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=60, timeout=1200	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 60 --timeout-sec 1200`	elapsed=202.1s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=4/4; dc_revised=3; wm_drafts=1; wm_prior=37/48; mh_runs=3	keep	report=arcgentica_skillread_all_20260416k.json
ARX_ALL15	Treating unable-to-confirm style lose reasons as retryable should reduce premature stopouts in the strongest carry-over namespace and make later skill/world state more likely to influence the remaining budget.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 420`	elapsed=55.5s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=4/4; dc_revised=3; wm_drafts=1; wm_prior=41/54; mh_runs=4	keep	report=arcgentica_skillread_all_20260416k.json
ARX	Bounded verification run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=60, timeout=1500	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 60 --timeout-sec 1500`	elapsed=157.7s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=6/6; dc_revised=4; wm_drafts=1; wm_prior=64/80; mh_runs=5	keep	report=arcgentica_skillread_all_20260416k.json
ARX	Bounded verification run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=40, timeout=1200	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 40 --timeout-sec 1200`	elapsed=117.6s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=6/6; dc_revised=4; wm_drafts=1; wm_prior=96/119; mh_runs=6	keep	report=arcgentica_skillread_all_20260416k.json
ARX	Bounded verification run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 900`	elapsed=228.2s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=6/6; dc_revised=5; wm_drafts=1; wm_prior=114/143; mh_runs=7	keep	report=arcgentica_skillread_all_20260416k.json
ARX	Bounded verification run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 900`	elapsed=196.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=9/9; dc_revised=5; wm_drafts=1; wm_prior=136/167; mh_runs=8	keep	report=arcgentica_skillread_all_20260416k.json
ARX_STRUCT2	Carry-over run should preserve validated exact spine reuse, expose at least one structured DreamCoder skill in the retained library, and keep simulator-scored world-model drafts under the real ls20 interface.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 900`	elapsed=544.8s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=139/171; mh_runs=9	keep	report=arcgentica_skillread_all_20260416k.json
ARX_STRUCT3	Carry-over run should either reach a first non-reset action quickly under reduced TRAPI retry settings or fail fast as startup-stalled instead of burning the full experiment budget.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=70.0s; returncode=0; timed_out=False; startup_stalled=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=139/171; mh_runs=9	keep	report=arcgentica_skillread_all_20260416k.json
ARX_STRUCT4	Bounded carry-over verification should explicitly discard stale-summary or zero-action rate-limited runs instead of misclassifying them as successful reuse runs.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=181.1s; returncode=0; timed_out=False; startup_stalled=True; summary_stale=True; zero_action_run=False; rate_limited=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=139/171; mh_runs=9	discard	report=arcgentica_skillread_all_20260416k.json
ARX_STRUCT5	With DreamCoder applied after world-model overrides, a carry-over run that reaches prefix ACTION3,ACTION3,ACTION4 should continue with the exact-spine continuation instead of being overridden by local world priors.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=181.0s; returncode=0; timed_out=False; startup_stalled=True; summary_stale=True; zero_action_run=False; rate_limited=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=139/171; mh_runs=9	discard	report=arcgentica_skillread_all_20260416k.json
ARX_STRUCT6	Reducing startup orchestrator scope and task size should lower time-to-first-action or at least reduce startup stall frequency in carry-over all-on runs.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=181.1s; returncode=0; timed_out=False; startup_stalled=True; summary_stale=True; zero_action_run=False; rate_limited=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=139/171; mh_runs=9	discard	report=arcgentica_skillread_all_20260416k.json
ARX_DIRECT1	A direct-startup solver should reduce first-action latency by bypassing the heavy orchestrator on turn 1 while still using carry-over skills and research hooks.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=70.0s; returncode=0; timed_out=False; startup_stalled=False; summary_stale=True; zero_action_run=True; rate_limited=True; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=139/171; mh_runs=9	discard	report=arcgentica_skillread_all_20260416k.json
ARX_DIRECT2	Single serialized direct-startup run to reduce TRAPI contention and measure whether first-action latency improves when no parallel experiments are active.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=100.0s; returncode=0; timed_out=False; startup_stalled=False; summary_stale=False; zero_action_run=False; rate_limited=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=146/181; mh_runs=10	keep	report=arcgentica_skillread_all_20260416k.json
ARX_DCWM_COUPLED1	DreamCoder should use world-model priors and recent surprise cues to shape skill naming/routing while preserving exact opening spine reuse in a serialized direct-startup run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=65.0s; returncode=0; timed_out=False; startup_stalled=False; summary_stale=False; zero_action_run=False; rate_limited=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=152/187; mh_runs=11	keep	report=arcgentica_skillread_all_20260416k.json
ARX_DCWM_COUPLED2	Retry guard should treat generic post-startup early-stop phrasing as nonterminal so DreamCoder+world-model carry-over gets more than the startup slice.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_skillread_all_20260416k, actions=24, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_skillread_all_20260416k --actions 24 --timeout-sec 600`	elapsed=140.0s; returncode=0; timed_out=False; startup_stalled=False; summary_stale=False; zero_action_run=False; rate_limited=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=10/10; dc_structured=1; dc_revised=5; wm_drafts=1; wm_prior=159/198; mh_runs=12	keep	report=arcgentica_skillread_all_20260416k.json
